issuer,insurance_type,coverage_year,sisense_enrollments_total,sisense_enrollees_total,sisense_enrollments_effectuated,sisense_enrollees_effectuated,sisense_enrollments_pending,sisense_enrollees_pending
82824,Health,2025,44698,58721,44695,58717,3,4
83761,Health,2025,38050,55240,38045,55232,5,8
83761,Health,2026,59946,86326,58556,84575,1390,1751
70893,Health,2025,525562,661502,525408,661271,154,231
70893,Health,2026,188085,248693,186377,246461,1708,2232
45334,Health,2025,52883,63789,52870,63771,13,18
45334,Health,2026,72643,90261,72083,89501,560,760
49046,Dental,2025,14434,21258,14428,21252,6,6
49046,Dental,2026,17469,25176,17280,24907,189,269
49046,Health,2025,44141,63255,44132,63238,9,17
49046,Health,2026,47889,68832,47524,68355,365,477
83502,Dental,2025,868,1185,868,1185,0,0
83502,Dental,2026,852,1136,841,1121,11,15
60224,Health,2025,20494,25355,20482,25340,12,15
60224,Health,2026,15583,21391,15294,21027,289,364
15105,Health,2025,17978,23062,17978,23062,0,0
15105,Health,2026,8892,11524,8841,11450,51,74
86637,Dental,2025,6032,9071,5989,9007,43,64
86637,Dental,2026,6864,10248,6777,10125,87,123
68806,Dental,2025,6606,9701,6498,9529,108,172
68806,Dental,2026,5785,8772,5161,7904,624,868
64357,Dental,2025,616,893,604,874,12,19
64357,Dental,2026,795,1126,773,1094,22,32
37301,Dental,2025,2989,4261,2989,4261,0,0
37301,Dental,2026,2679,3786,2663,3761,16,25
37001,Dental,2025,2306,3137,2306,3137,0,0
37001,Dental,2026,3576,4802,3535,4751,41,51
89942,Health,2025,47822,69448,47808,69424,14,24
89942,Health,2026,115093,181895,113268,179168,1825,2727
58081,Health,2025,150535,210289,150512,210261,23,28
58081,Health,2026,139327,189178,138186,187662,1141,1516
13535,Dental,2025,718,1063,715,1060,3,3
13535,Dental,2026,1116,1551,1025,1416,91,135
43802,Dental,2025,5896,8871,5868,8823,28,48
43802,Dental,2026,8961,12837,8243,11864,718,973
43802,Health,2025,3877,5181,3874,5172,3,9
43802,Health,2026,2219,3212,2173,3152,46,60
